job_id,industry,job_title,experience_level,employment_type,salary_min_usd,salary_max_usd,posted_date,company_size
1,Healthcare,Data Analyst,Mid,Full-time,92860,109598,20-08-2025,Large
2,Tech,Computer Vision Engineer,Senior,Full-time,78523,144875,22-03-2024,Large
3,Tech,Quant Researcher,Entry,Full-time,124496,217204,18-09-2025,Large
4,Tech,AI Product Manager,Mid,Full-time,50908,123743,08-05-2024,Large
5,Finance,Data Scientist,Senior,Contract,98694,135413,24-02-2025,Large
6,E-commerce,AI Product Manager,Senior,Remote,92632,180718,07-08-2025,Large
7,Automotive,Data Analyst,Mid,Full-time,70575,88594,23-12-2024,Large
8,Education,Data Scientist,Entry,Internship,63032,82144,14-08-2024,Large
9,Healthcare,ML Engineer,Entry,Internship,134239,188504,15-09-2025,Large
10,Automotive,Computer Vision Engineer,Senior,Full-time,79361,165029,07-08-2025,Large
11,Tech,Data Scientist,Entry,Internship,99964,125971,10-01-2024,Large
12,Finance,ML Engineer,Entry,Full-time,63583,132670,15-03-2024,Large
13,E-commerce,NLP Engineer,Entry,Full-time,102770,117026,27-09-2023,Startup
14,Retail,Quant Researcher,Senior,Full-time,137004,193975,20-11-2024,Mid
15,Education,NLP Engineer,Mid,Remote,129842,216741,08-07-2024,Large
16,Automotive,NLP Engineer,Senior,Remote,124669,217866,06-04-2024,Startup
17,E-commerce,ML Engineer,Entry,Full-time,137523,180097,14-05-2025,Mid
18,Automotive,AI Product Manager,Entry,Internship,138184,192857,29-04-2024,Startup
19,Healthcare,Data Scientist,Senior,Remote,100845,159745,19-10-2024,Mid
20,E-commerce,ML Engineer,Mid,Internship,115578,207180,29-08-2024,Large
21,Retail,Quant Researcher,Entry,Remote,122521,175168,19-01-2024,Large
22,Retail,Quant Researcher,Entry,Full-time,62483,105216,28-12-2023,Large
23,E-commerce,NLP Engineer,Mid,Remote,74317,148899,25-11-2024,Startup
24,Tech,NLP Engineer,Senior,Internship,68115,125323,06-12-2023,Mid
25,Healthcare,NLP Engineer,Mid,Internship,89840,109693,13-06-2025,Mid
26,Finance,NLP Engineer,Mid,Remote,107786,126713,20-12-2024,Mid
27,Education,Quant Researcher,Senior,Internship,44309,77284,02-01-2025,Large
28,Healthcare,Data Analyst,Entry,Contract,124616,172767,28-02-2025,Startup
29,Finance,Data Analyst,Mid,Internship,142616,216391,31-01-2025,Startup
30,Finance,Data Analyst,Entry,Contract,70932,161568,07-06-2024,Startup
31,Tech,Quant Researcher,Senior,Full-time,54565,94461,27-06-2024,Startup
32,Healthcare,Data Scientist,Entry,Full-time,112660,179478,22-09-2023,Mid
33,Tech,AI Product Manager,Mid,Contract,55330,104941,30-09-2024,Startup
34,Finance,NLP Engineer,Senior,Internship,110439,183071,25-11-2023,Startup
35,Automotive,Computer Vision Engineer,Entry,Contract,97714,134140,01-04-2024,Large
36,Finance,Computer Vision Engineer,Mid,Remote,87250,156869,25-12-2023,Startup
37,Retail,AI Researcher,Entry,Contract,77074,163272,16-11-2024,Mid
38,E-commerce,ML Engineer,Mid,Remote,116061,159814,14-05-2025,Startup
39,Retail,Data Scientist,Senior,Internship,87411,136106,10-06-2024,Mid
40,Automotive,Data Analyst,Entry,Internship,88562,159008,27-06-2025,Mid
41,E-commerce,Quant Researcher,Senior,Remote,41935,95608,08-02-2025,Mid
42,E-commerce,NLP Engineer,Mid,Full-time,126443,145937,10-11-2023,Startup
43,Healthcare,AI Product Manager,Entry,Full-time,99978,189975,05-09-2024,Large
44,Education,Quant Researcher,Entry,Contract,65214,151832,11-03-2025,Large
45,Automotive,Quant Researcher,Mid,Internship,71101,158421,16-03-2025,Mid
46,Healthcare,ML Engineer,Entry,Internship,119200,129563,14-02-2025,Startup
47,Finance,Data Scientist,Mid,Contract,122083,203812,04-08-2024,Startup
48,Automotive,Computer Vision Engineer,Entry,Contract,144773,159408,21-02-2025,Mid
49,Education,NLP Engineer,Entry,Remote,78317,161397,19-03-2024,Mid
50,Finance,NLP Engineer,Mid,Full-time,75575,120477,07-05-2024,Large
51,E-commerce,AI Product Manager,Entry,Full-time,133185,231638,27-09-2023,Large
52,E-commerce,Computer Vision Engineer,Entry,Contract,73140,164506,30-05-2025,Mid
53,Finance,Data Scientist,Mid,Contract,69031,115150,17-05-2025,Large
54,Tech,Quant Researcher,Mid,Full-time,49382,141727,09-11-2024,Large
55,Healthcare,Quant Researcher,Senior,Full-time,135916,233596,10-11-2024,Startup
56,Tech,ML Engineer,Senior,Remote,149271,215582,23-04-2025,Startup
