job_id,skills_required
1, GCP
1, Scikit-learn
1, Reinforcement Learning
1, PyTorch
1, FastAPI
1,NumPy
2, Pandas
2, CUDA
2, SQL
2,Scikit-learn
3, GCP
3, Azure
3, SQL
3, PyTorch
3, FastAPI
3,MLflow
4, Pandas
4, AWS
4, R
4, C++
4, LangChain
4,Scikit-learn
5, SQL
5, Hugging Face
5, Keras
5,Excel
6, Excel
6, Scikit-learn
6, MLflow
6,GCP
7, GCP
7, Scikit-learn
7, Flask
7,Python
8, SQL
8, Flask
8,Excel
9, GCP
9, Azure
9, LangChain
9,Pandas
10, TensorFlow
10, Reinforcement Learning
10,Excel
11, Reinforcement Learning
11, MLflow
11,Keras
12, Scikit-learn
12, Reinforcement Learning
12, Keras
12,Excel
13, Hugging Face
13, FastAPI
13, Python
13,C++
14, Hugging Face
14, NumPy
14, MLflow
14, FastAPI
14, LangChain
14,Excel
15, CUDA
15, NumPy
15, FastAPI
15,Pandas
16, Scikit-learn
16, Reinforcement Learning
16,Hugging Face
17, R
17, C++
17,MLflow
18, Hugging Face
18, Flask
18, MLflow
18, Power BI
18,Excel
19, Azure
19, CUDA
19, Hugging Face
19, Reinforcement Learning
19, Power BI
19,AWS
20, CUDA
20, AWS
20, Power BI
20,R
21, Azure
21, SQL
21, Keras
21, Power BI
21, R
21,C++
22, CUDA
22, NumPy
22, MLflow
22, R
22, C++
22,LangChain
23, Scikit-learn
23, Hugging Face
23, MLflow
23, FastAPI
23,CUDA
24, CUDA
24, Hugging Face
24, Flask
24, C++
24,PyTorch
25, Reinforcement Learning
25, MLflow
25,Python
26, Reinforcement Learning
26, FastAPI
26, Python
26, Power BI
26, R
26,PyTorch
27, Hugging Face
27, Flask
27, FastAPI
27, Python
27, Power BI
27,Azure
28, Pandas
28, Python
28,R
29, Pandas
29, Scikit-learn
29, Hugging Face
29, Keras
29, Python
29,Flask
30, Azure
30, SQL
30,Scikit-learn
31, TensorFlow
31, Excel
31,Keras
32, Excel
32, Scikit-learn
32, Azure
32, C++
32,Hugging Face
33, CUDA
33, PyTorch
33, FastAPI
33, AWS
33,Keras
34, GCP
34, SQL
34, Keras
34, Power BI
34,MLflow
35, Excel
35, C++
35,GCP
36, R
36, LangChain
36,PyTorch
37, SQL
37, Python
37,Excel
38, TensorFlow
38, Hugging Face
38,SQL
39, FastAPI
39, AWS
39, Power BI
39,PyTorch
40, GCP
40, Scikit-learn
40, CUDA
40, Keras
40, PyTorch
40,Power BI
41, Excel
41, SQL
41, Keras
41, AWS
41,NumPy
42, CUDA
42, MLflow
42, Power BI
42,R
43, SQL
43, Reinforcement Learning
43, Python
43, LangChain
43,NumPy
44, TensorFlow
44, Excel
44, SQL
44, Flask
44,Hugging Face
45, Pandas
45, CUDA
45, FastAPI
45, LangChain
45,Hugging Face
46, GCP
46, AWS
46,LangChain
47, Azure
47, Flask
47, PyTorch
47,Scikit-learn
48, TensorFlow
48, Power BI
48,GCP
49, PyTorch
49, Power BI
49, R
49, LangChain
49,TensorFlow
50, Pandas
50, CUDA
50, SQL
50, AWS
50, C++
50,Power BI
51, Scikit-learn
51, Keras
51, PyTorch
51, AWS
51,TensorFlow
52, Excel
52, Scikit-learn
52, Hugging Face
52, Keras
52, R
52,Azure
53, Pandas
53, Scikit-learn
53, CUDA
53, FastAPI
53, Python
53,Keras
54, SQL
54, PyTorch
54, Python
54,R
55, Excel
55, Azure
55, PyTorch
55, FastAPI
55, R
55,Keras
56, Excel
56, CUDA
56, SQL
56, Flask
56, LangChain
56,Power BI
57, Excel
57, Azure
57,AWS
58, Azure
58, Keras
58, FastAPI
58, AWS
58, R
58,Excel
59, Pandas
59, Excel
59, Flask
59, C++
59,FastAPI
60, SQL
60, Hugging Face
60, Flask
60, Power BI
60, C++
60,TensorFlow
61, Excel
61, GCP
61,Power BI
62, Scikit-learn
62, Hugging Face
62, Flask
62, FastAPI
62, Power BI
62,Python
63, Scikit-learn
63, Keras
63,Hugging Face
64, Python
64, LangChain
64,Reinforcement Learning
65, Pandas
65, MLflow
65, Power BI
65,Azure
66, Azure
66, NumPy
66, Flask
66, Reinforcement Learning
66, MLflow
66,C++
67, SQL
67, FastAPI
67,LangChain
68, GCP
68, Scikit-learn
68, Azure
68, Python
68, C++
68,NumPy
69, CUDA
69, NumPy
69, MLflow
69, AWS
69,Power BI
70, Flask
70, PyTorch
70,LangChain
71, Scikit-learn
71, NumPy
71,Flask
72, TensorFlow
72, Scikit-learn
72, NumPy
72, FastAPI
72, LangChain
72,SQL
73, TensorFlow
73, Excel
73,Azure
74, CUDA
74, Hugging Face
74, MLflow
74,C++
75, NumPy
75, PyTorch
75, R
75, C++
75,MLflow
76, Flask
76, Python
76,R
77, Hugging Face
77, PyTorch
77,FastAPI
78, Flask
78, Reinforcement Learning
78, FastAPI
78,Pandas
79, NumPy
79, Flask
79, LangChain
79,Reinforcement Learning
80, TensorFlow
80, Flask
80, Power BI
80,AWS
81, TensorFlow
81, Pandas
81, Python
81,Reinforcement Learning
82, TensorFlow
82, GCP
82, Hugging Face
82, C++
82, LangChain
82,R
83, Excel
83, Azure
83, C++
83,Flask
84, Scikit-learn
84, Hugging Face
84, Python
84,MLflow
85, Scikit-learn
85, CUDA
85, SQL
85, Flask
85, C++
85,FastAPI
86, CUDA
86, PyTorch
86, FastAPI
86, AWS
86,LangChain
87, NumPy
87, Power BI
87,C++
88, Scikit-learn
88, LangChain
88,FastAPI
89, CUDA
89, Python
89, Power BI
89,Flask
90, SQL
90, FastAPI
90, C++
90,Python
91, Scikit-learn
91, FastAPI
91, Python
91, Power BI
91, LangChain
91,TensorFlow
92, Keras
92, LangChain
92,GCP
93, TensorFlow
93, Pandas
93, CUDA
93,Excel
94, Scikit-learn
94, CUDA
94, Flask
94, PyTorch
94,FastAPI
95, GCP
95, CUDA
95, FastAPI
95, Python
95,Hugging Face
96, Pandas
96, Excel
96, Scikit-learn
96, MLflow
96,PyTorch
97, MLflow
97, FastAPI
97, Python
97, AWS
97, R
97,Pandas
98, Scikit-learn
98, SQL
98, FastAPI
98, Power BI
98,Python
99, Pandas
99, Excel
99, NumPy
99, C++
99,Keras
100, MLflow
100, AWS
100, Power BI
100,Keras
101, SQL
101, Hugging Face
101, MLflow
101,Pandas
102, Scikit-learn
102, Azure
102, Flask
102, LangChain
102,Hugging Face
103, Pandas
103, NumPy
103, MLflow
103,Python
104, GCP
104, Scikit-learn
104,Power BI
105, TensorFlow
105, Azure
105, NumPy
105, AWS
105,FastAPI
106, TensorFlow
106, Pandas
106, GCP
106, Azure
106, LangChain
106,CUDA
107, GCP
107, SQL
107,Keras
108, SQL
108, Reinforcement Learning
108, Keras
108, FastAPI
108, AWS
108,Power BI
109, CUDA
109, Hugging Face
109, Flask
109,AWS
110, Excel
110, CUDA
110, MLflow
110,Azure
111, Excel
111, NumPy
111, Flask
111, Power BI
111,SQL
112, TensorFlow
112, Azure
112, CUDA
112, Reinforcement Learning
112, FastAPI
112,GCP
113, FastAPI
113, R
113,Python
114, Pandas
114, GCP
114, Python
114, R
114,Scikit-learn
115, GCP
115, FastAPI
115, Python
115, R
115, C++
115,AWS
116, Excel
116, Keras
116, LangChain
116,NumPy
117, TensorFlow
117, Excel
117, Scikit-learn
117, Hugging Face
117, Keras
117,NumPy
118, Hugging Face
118, R
118,TensorFlow
119, Pandas
119, Scikit-learn
119, Keras
119, MLflow
119, Power BI
119,Python
120, Pandas
120, GCP
120, NumPy
120, Keras
120, Python
120,PyTorch
121, Excel
121, Python
121,SQL
122, Scikit-learn
122, Azure
122, SQL
122, NumPy
122, Keras
122,GCP
123, TensorFlow
123, Flask
123, PyTorch
123, AWS
123,Azure
124, SQL
124, Reinforcement Learning
124, FastAPI
124, Power BI
124, C++
124,Hugging Face
125, TensorFlow
125, CUDA
125,Keras
126, AWS
126, Power BI
126,SQL
127, Pandas
127, Excel
127, Scikit-learn
127, CUDA
