job_id,tools_preferred
1,KDB+
1, LangChain
2,FastAPI
2, KDB+
2, TensorFlow
3,BigQuery
3, PyTorch
3, Scikit-learn
4,TensorFlow
4, BigQuery
4, MLflow
5,PyTorch
5, LangChain
6,PyTorch
6, TensorFlow
6, FastAPI
7,PyTorch
7, MLflow
8,BigQuery
9,Scikit-learn
9, LangChain
9, BigQuery
10,MLflow
10, TensorFlow
11,LangChain
11, BigQuery
11, Scikit-learn
12,TensorFlow
12, PyTorch
12, BigQuery
13,LangChain
14,LangChain
14, TensorFlow
14, Scikit-learn
15,FastAPI
16,TensorFlow
17,LangChain
18,BigQuery
19,BigQuery
19, FastAPI
19, KDB+
20,MLflow
21,Scikit-learn
21, BigQuery
21, PyTorch
22,PyTorch
22, LangChain
23,PyTorch
23, Scikit-learn
23, KDB+
24,Scikit-learn
25,FastAPI
26,FastAPI
26, PyTorch
26, KDB+
27,TensorFlow
27, Scikit-learn
27, FastAPI
28,PyTorch
28, MLflow
29,Scikit-learn
29, FastAPI
29, LangChain
30,TensorFlow
31,KDB+
31, PyTorch
32,LangChain
32, KDB+
33,TensorFlow
33, Scikit-learn
34,PyTorch
35,TensorFlow
35, Scikit-learn
36,Scikit-learn
36, FastAPI
36, MLflow
37,Scikit-learn
37, LangChain
37, KDB+
38,MLflow
39,LangChain
40,FastAPI
40, Scikit-learn
40, LangChain
41,Scikit-learn
41, TensorFlow
41, BigQuery
42,TensorFlow
43,PyTorch
43, TensorFlow
43, FastAPI
44,TensorFlow
44, LangChain
44, PyTorch
45,KDB+
46,FastAPI
46, MLflow
46, TensorFlow
47,PyTorch
47, BigQuery
48,MLflow
48, BigQuery
48, LangChain
49,KDB+
49, PyTorch
49, MLflow
50,FastAPI
50, KDB+
50, Scikit-learn
51,BigQuery
52,LangChain
52, KDB+
52, FastAPI
53,MLflow
54,LangChain
54, BigQuery
54, MLflow
55,FastAPI
55, TensorFlow
55, BigQuery
56,BigQuery
56, PyTorch
56, TensorFlow
57,LangChain
57, Scikit-learn
57, PyTorch
58,MLflow
58, LangChain
59,FastAPI
59, PyTorch
59, LangChain
60,BigQuery
61,MLflow
62,LangChain
63,TensorFlow
63, LangChain
64,FastAPI
65,PyTorch
65, TensorFlow
65, FastAPI
66,FastAPI
66, KDB+
67,BigQuery
67, KDB+
68,PyTorch
69,LangChain
69, PyTorch
69, MLflow
70,BigQuery
71,FastAPI
71, PyTorch
72,FastAPI
72, LangChain
73,PyTorch
73, BigQuery
73, Scikit-learn
74,MLflow
74, PyTorch
75,KDB+
76,FastAPI
76, TensorFlow
76, PyTorch
77,PyTorch
78,LangChain
78, PyTorch
78, Scikit-learn
79,LangChain
80,KDB+
81,Scikit-learn
81, MLflow
81, PyTorch
82,PyTorch
82, Scikit-learn
82, BigQuery
83,MLflow
84,MLflow
84, LangChain
84, KDB+
85,FastAPI
85, LangChain
86,BigQuery
86, Scikit-learn
86, MLflow
87,LangChain
87, BigQuery
88,LangChain
88, MLflow
89,FastAPI
89, LangChain
89, BigQuery
90,KDB+
90, LangChain
91,BigQuery
91, KDB+
91, LangChain
92,LangChain
92, FastAPI
92, Scikit-learn
93,MLflow
93, FastAPI
93, TensorFlow
94,LangChain
94, BigQuery
95,LangChain
95, BigQuery
96,LangChain
97,LangChain
97, FastAPI
98,FastAPI
98, KDB+
98, LangChain
99,TensorFlow
99, BigQuery
100,TensorFlow
101,TensorFlow
102,KDB+
102, BigQuery
102, MLflow
103,KDB+
104,TensorFlow
105,LangChain
105, Scikit-learn
106,KDB+
106, MLflow
107,BigQuery
107, FastAPI
108,TensorFlow
108, Scikit-learn
108, MLflow
109,BigQuery
110,Scikit-learn
111,KDB+
112,Scikit-learn
113,MLflow
113, Scikit-learn
113, FastAPI
114,KDB+
115,Scikit-learn
115, TensorFlow
116,MLflow
117,LangChain
117, KDB+
118,Scikit-learn
119,MLflow
119, PyTorch
119, FastAPI
120,TensorFlow
120, KDB+
120, BigQuery
121,Scikit-learn
121, MLflow
122,BigQuery
123,KDB+
123, MLflow
124,KDB+
125,BigQuery
125, TensorFlow
126,PyTorch
127,Scikit-learn
128,LangChain
128, KDB+
129,PyTorch
129, KDB+
129, LangChain
130,Scikit-learn
131,BigQuery
132,KDB+
132, FastAPI
133,BigQuery
133, LangChain
133, FastAPI
134,TensorFlow
135,PyTorch
135, FastAPI
136,PyTorch
137,FastAPI
137, PyTorch
137, TensorFlow
138,BigQuery
138, Scikit-learn
139,LangChain
139, PyTorch
139, MLflow
140,BigQuery
141,Scikit-learn
141, TensorFlow
142,TensorFlow
143,FastAPI
143, KDB+
144,Scikit-learn
144, KDB+
145,MLflow
145, KDB+
146,BigQuery
146, MLflow
146, Scikit-learn
147,BigQuery
148,FastAPI
149,PyTorch
149, Scikit-learn
150,KDB+
151,FastAPI
151, TensorFlow
151, LangChain
152,Scikit-learn
153,Scikit-learn
154,TensorFlow
154, FastAPI
154, PyTorch
155,MLflow
155, PyTorch
155, KDB+
156,BigQuery
156, KDB+
157,TensorFlow
157, MLflow
158,MLflow
158, Scikit-learn
158, FastAPI
159,Scikit-learn
159, KDB+
159, BigQuery
160,Scikit-learn
160, BigQuery
160, KDB+
161,KDB+
161, BigQuery
162,FastAPI
162, PyTorch
163,Scikit-learn
163, MLflow
163, BigQuery
164,TensorFlow
164, MLflow
165,LangChain
166,BigQuery
166, MLflow
166, FastAPI
167,TensorFlow
167, BigQuery
168,TensorFlow
169,FastAPI
169, MLflow
169, KDB+
170,LangChain
171,FastAPI
171, PyTorch
171, TensorFlow
172,PyTorch
172, BigQuery
173,FastAPI
173, PyTorch
174,FastAPI
174, MLflow
175,TensorFlow
175, KDB+
175, MLflow
176,KDB+
176, BigQuery
177,PyTorch
177, LangChain
177, MLflow
178,Scikit-learn
178, PyTorch
178, LangChain
179,TensorFlow
179, BigQuery
179, KDB+
180,TensorFlow
180, FastAPI
181,KDB+
181, Scikit-learn
181, PyTorch
182,PyTorch
183,BigQuery
183, TensorFlow
184,Scikit-learn
184, BigQuery
185,TensorFlow
186,BigQuery
187,LangChain
187, MLflow
188,KDB+
189,BigQuery
190,PyTorch
190, KDB+
191,MLflow
191, LangChain
191, FastAPI
192,FastAPI
192, BigQuery
193,MLflow
193, KDB+
194,LangChain
194, KDB+
195,Scikit-learn
196,BigQuery
196, FastAPI
197,Scikit-learn
197, TensorFlow
197, FastAPI
198,BigQuery
199,BigQuery
199, KDB+
200,PyTorch
201,BigQuery
201, PyTorch
202,PyTorch
202, TensorFlow
202, FastAPI
203,LangChain
203, KDB+
203, FastAPI
204,TensorFlow
205,BigQuery
206,MLflow
207,TensorFlow
208,Scikit-learn
209,Scikit-learn
209, BigQuery
209, FastAPI
210,KDB+
210, FastAPI
210, PyTorch
211,KDB+
211, FastAPI
